recid,career span,,,,,,
1482840,0,,,,,,
1614031,0,,,,,,
1614033,0,,,,,,
1614037,0,,,,,,
1483071,0,,,,,,
1614216,0,,,,,,
1614223,0,,,,,,
1614233,0,,,,,,
1614234,0,,,,,,
1614238,0,,,,,,
1614239,0,,,,,,
1614240,0,,,,,,
1614242,0,,,,,,
1614243,0,,,,,,
1614246,0,,,,,,
1614248,0,,,,,,
1614253,0,,,,,,
1614259,0,,,,,,
1614263,0,,,,,,
1614265,0,,,,,,
1614266,0,,,,,,
1614269,0,,,,,,
1614270,0,,,,,,
1614278,0,,,,,,
1483216,0,,,,,,
1614375,0,,,,,,
1614527,0,,,,,,
1614531,0,,,,,,
1614532,0,,,,,,
1614585,0,,,,,,
1614874,0,,,,,,
1614899,0,,,,,,
1614997,0,,,,,,
1615007,0,,,,,,
1352881,0,,,,,,
1615045,0,,,,,,
1615059,0,,,,,,
1615088,0,,,,,,
1615111,0,,,,,,
1615135,0,,,,,,
1615150,0,,,,,,
1615170,0,,,,,,
1484133,0,,,,,,
1484135,0,,,,,,
1484249,0,,,,,,
1615415,0,,,,,,
1484376,0,,,,,,
1484401,0,,,,,,
1615536,0,,,,,,
1615539,0,,,,,,
1615540,0,,,,,,
1615541,0,,,,,,
1615543,0,,,,,,
1615546,0,,,,,,
1615547,0,,,,,,
1615548,0,,,,,,
1615552,0,,,,,,
1055693,0,,,,,,
1091363,0,,,,,,
1353544,0,,,,,,
1091422,0,,,,,,
1353595,0,,,,,,
1615818,0,,,,,,
1514487,0,,,,,,
1514489,0,,,,,,
1484780,0,,,,,,
1484799,0,,,,,,
1484899,0,,,,,,
1484905,0,,,,,,
1484908,0,,,,,,
1485042,0,,,,,,
1616163,0,,,,,,
1616453,0,,,,,,
1616456,0,,,,,,
1616457,0,,,,,,
1616459,0,,,,,,
1616460,0,,,,,,
1616462,0,,,,,,
1616463,0,,,,,,
1616464,0,,,,,,
1616465,0,,,,,,
1485502,0,,,,,,
1485506,0,,,,,,
1485511,0,,,,,,
1485512,0,,,,,,
1485623,0,,,,,,
1485652,0,,,,,,
1485787,0,,,,,,
1485813,0,,,,,,
1486020,0,,,,,,
1223936,0,,,,,,
1223937,0,,,,,,
1486092,0,,,,,,
1486120,0,,,,,,
1486128,0,,,,,,
1486315,0,,,,,,
1486318,0,,,,,,
1486433,0,,,,,,
1224594,0,,,,,,
1486748,0,,,,,,
1224608,0,,,,,,
1224653,0,,,,,,
1487358,0,,,,,,
1618452,0,,,,,,
1618453,0,,,,,,
1356314,0,,,,,,
1487484,0,,,,,,
1487687,0,,,,,,
1487944,0,,,,,,
1488338,0,,,,,,
1488443,0,,,,,,
1488462,0,,,,,,
1488522,0,,,,,,
1488525,0,,,,,,
1357497,0,,,,,,
1488699,0,,,,,,
1620400,0,,,,,,
1489764,0,,,,,,
1621043,0,,,,,,
1621061,0,,,,,,
1621063,0,,,,,,
1621064,0,,,,,,
1621067,0,,,,,,
1621068,0,,,,,,
1621078,0,,,,,,
1228082,0,,,,,,
1228087,0,,,,,,
1228104,0,,,,,,
1490268,0,,,,,,
1228140,0,,,,,,
1621533,0,,,,,,
1359409,0,,,,,,
1228394,0,,,,,,
1621912,0,,,,,,
1621933,0,,,,,,
1621934,0,,,,,,
1621935,0,,,,,,
1621936,0,,,,,,
1621943,0,,,,,,
1621952,0,,,,,,
1621953,0,,,,,,
1359826,0,,,,,,
1621972,0,,,,,,
1621981,0,,,,,,
1621998,0,,,,,,
1622018,0,,,,,,
1622021,0,,,,,,
1622023,0,,,,,,
1622036,0,,,,,,
1622040,0,,,,,,
1622044,0,,,,,,
1622074,0,,,,,,
1622096,0,,,,,,
1622098,0,,,,,,
1622103,0,,,,,,
1622121,0,,,,,,
1622123,0,,,,,,
1622147,0,,,,,,
1622164,0,,,,,,
1360028,0,,,,,,
1491316,0,,,,,,
1491326,0,,,,,,
1491329,0,,,,,,
1471900,0,,,,,,
1491422,0,,,,,,
1491429,0,,,,,,
1491438,0,,,,,,
1491446,0,,,,,,
1622683,0,,,,,,
1622808,0,,,,,,
1622814,0,,,,,,
1622822,0,,,,,,
1622825,0,,,,,,
1491999,0,,,,,,
1492006,0,,,,,,
1492014,0,,,,,,
1492017,0,,,,,,
1492025,0,,,,,,
1492026,0,,,,,,
1492031,0,,,,,,
1492447,0,,,,,,
1492450,0,,,,,,
1492464,0,,,,,,
1623810,0,,,,,,
1623813,0,,,,,,
1623817,0,,,,,,
1623818,0,,,,,,
1623819,0,,,,,,
1492787,0,,,,,,
1492815,0,,,,,,
1492818,0,,,,,,
1492821,0,,,,,,
1492932,0,,,,,,
1492933,0,,,,,,
1493016,0,,,,,,
1493024,0,,,,,,
1624501,0,,,,,,
1624510,0,,,,,,
1624513,0,,,,,,
1624516,0,,,,,,
1362445,0,,,,,,
1231554,0,,,,,,
1625215,0,,,,,,
1647183,0,,,,,,
1647187,0,,,,,,
1625677,0,,,,,,
1494923,0,,,,,,
1494932,0,,,,,,
1494935,0,,,,,,
1494939,0,,,,,,
1494944,0,,,,,,
1494945,0,,,,,,
1626495,0,,,,,,
1626496,0,,,,,,
1626500,0,,,,,,
1626507,0,,,,,,
1626509,0,,,,,,
1626511,0,,,,,,
1626512,0,,,,,,
1626513,0,,,,,,
1495649,0,,,,,,
1495658,0,,,,,,
1495662,0,,,,,,
1495664,0,,,,,,
1495665,0,,,,,,
1626887,0,,,,,,
1626897,0,,,,,,
1626905,0,,,,,,
1626910,0,,,,,,
1364824,0,,,,,,
1365380,0,,,,,,
1496565,0,,,,,,
1651613,0,,,,,,
1496891,0,,,,,,
1496893,0,,,,,,
1627966,0,,,,,,
1627970,0,,,,,,
1627971,0,,,,,,
1627972,0,,,,,,
1628002,0,,,,,,
1496937,0,,,,,,
1496939,0,,,,,,
1496940,0,,,,,,
1365960,0,,,,,,
1365969,0,,,,,,
1497458,0,,,,,,
1497674,0,,,,,,
1628759,0,,,,,,
1628762,0,,,,,,
1628764,0,,,,,,
1629010,0,,,,,,
1498186,0,,,,,,
1498201,0,,,,,,
1498211,0,,,,,,
1498214,0,,,,,,
1498215,0,,,,,,
1367258,0,,,,,,
1498414,0,,,,,,
1498418,0,,,,,,
1498419,0,,,,,,
1498421,0,,,,,,
1498430,0,,,,,,
1629521,0,,,,,,
1498632,0,,,,,,
1498692,0,,,,,,
1629839,0,,,,,,
1629842,0,,,,,,
1629854,0,,,,,,
1629919,0,,,,,,
1630326,0,,,,,,
1630327,0,,,,,,
1499560,0,,,,,,
1499797,0,,,,,,
1499798,0,,,,,,
1499804,0,,,,,,
1499811,0,,,,,,
1499831,0,,,,,,
1631018,0,,,,,,
1631078,0,,,,,,
1631081,0,,,,,,
1631089,0,,,,,,
1631090,0,,,,,,
1631094,0,,,,,,
1631096,0,,,,,,
1500051,0,,,,,,
1500054,0,,,,,,
1500139,0,,,,,,
1631262,0,,,,,,
1631263,0,,,,,,
1631276,0,,,,,,
1631458,0,,,,,,
1631460,0,,,,,,
1500441,0,,,,,,
1500444,0,,,,,,
1500445,0,,,,,,
1500447,0,,,,,,
1500448,0,,,,,,
1500452,0,,,,,,
1631866,0,,,,,,
1500917,0,,,,,,
1501191,0,,,,,,
1501192,0,,,,,,
1501384,0,,,,,,
1608128,0,,,,,,
1632620,0,,,,,,
1632624,0,,,,,,
1632628,0,,,,,,
1632634,0,,,,,,
1632636,0,,,,,,
1632856,0,,,,,,
1501867,0,,,,,,
1239903,0,,,,,,
1502295,0,,,,,,
1502296,0,,,,,,
1502297,0,,,,,,
1502420,0,,,,,,
1633505,0,,,,,,
1633508,0,,,,,,
1633512,0,,,,,,
1633513,0,,,,,,
1633516,0,,,,,,
1633517,0,,,,,,
1633519,0,,,,,,
1633523,0,,,,,,
1633526,0,,,,,,
1633528,0,,,,,,
1633537,0,,,,,,
1633547,0,,,,,,
1633550,0,,,,,,
1502525,0,,,,,,
1502526,0,,,,,,
1502537,0,,,,,,
1495651,0,,,,,,
1502859,0,,,,,,
1372032,0,,,,,,
1503310,0,,,,,,
1503338,0,,,,,,
1503998,0,,,,,,
1635155,0,,,,,,
1373120,0,,,,,,
1635384,0,,,,,,
1635396,0,,,,,,
1635398,0,,,,,,
1635402,0,,,,,,
1635404,0,,,,,,
1635406,0,,,,,,
1635409,0,,,,,,
1635416,0,,,,,,
1635417,0,,,,,,
1635418,0,,,,,,
1635421,0,,,,,,
1635422,0,,,,,,
1635740,0,,,,,,
1373638,0,,,,,,
1373645,0,,,,,,
1452285,0,,,,,,
1635827,0,,,,,,
1504869,0,,,,,,
1636071,0,,,,,,
1505117,0,,,,,,
1505118,0,,,,,,
1505260,0,,,,,,
1505361,0,,,,,,
1505362,0,,,,,,
1505519,0,,,,,,
1505523,0,,,,,,
1505533,0,,,,,,
1505540,0,,,,,,
1374573,0,,,,,,
1636883,0,,,,,,
1374797,0,,,,,,
1243772,0,,,,,,
1452493,0,,,,,,
1452508,0,,,,,,
1506349,0,,,,,,
1244221,0,,,,,,
1603941,0,,,,,,
